count,mean,p50,p99,ready_replicas,requested_replicas,slo_rate,slo_violations,timestamp,experiment
415,0.17341655927467367,0.04223743800048396,2.2543714806599944,10,10,0.09156626506024096,38,1781081503.5433588,custom_autoscaler
434,0.16747631322117498,0.04165478799995981,2.2313509132700093,10,10,0.08755760368663594,38,1781081510.8690476,custom_autoscaler
123,0.2056956931463184,0.044549737999659555,2.3395419204199244,10,10,0.0975609756097561,12,1781081515.8691287,custom_autoscaler
478,0.15736773102089197,0.04198933500038038,2.1780401256300435,10,10,0.0794979079497908,38,1781081520.8692129,custom_autoscaler
505,0.15286859035047318,0.04254575599952659,2.1482210600000315,10,10,0.07524752475247524,38,1781081525.8692799,custom_autoscaler
527,0.14890486799238686,0.04272439199939981,2.1374847134998896,10,10,0.07210626185958255,38,1781081530.8693726,custom_autoscaler
555,0.1441200652017853,0.04272439199939981,2.123820272499708,10,10,0.06846846846846846,38,1781081535.8694408,custom_autoscaler
153,0.17688116747708918,0.04482459600058064,2.3305256487197763,10,10,0.0784313725490196,12,1781081543.2010229,custom_autoscaler
603,0.13731156125869493,0.042880789000264485,2.0985346986994253,10,10,0.06301824212271974,38,1781081548.2011056,custom_autoscaler
630,0.13368877899522322,0.042812427499939076,2.0602372331496515,10,10,0.06031746031746032,38,1781081553.2011802,custom_autoscaler
653,0.13065903671361637,0.04279820600004314,2.0276134661998393,10,10,0.05819295558958652,38,1781081558.2012455,custom_autoscaler
189,0.15414738931743702,0.044549737999659555,2.3197061226796,10,10,0.06349206349206349,12,1781081563.2013104,custom_autoscaler
197,0.15047730121824052,0.044549737999659555,2.31730178355956,10,10,0.06091370558375635,12,1781081568.201413,custom_autoscaler
720,0.1237229056374872,0.04291038250039492,1.911301068170246,10,10,0.05277777777777778,38,1781081573.201443,custom_autoscaler
212,0.1441197299150576,0.04461915799993221,2.273234837869508,10,10,0.05660377358490566,12,1781081580.6208808,custom_autoscaler
84,0.15358900035712827,0.04489194649977435,3.0369775529195353,10,10,0.03571428571428571,3,1781081585.6209586,custom_autoscaler
235,0.1359560341999547,0.044549737999659555,2.183608487779455,10,10,0.05106382978723404,12,1781081590.621011,custom_autoscaler
823,0.11568032812392563,0.043206489000112924,1.67896954350044,10,10,0.046172539489671933,38,1781081595.6212459,custom_autoscaler
843,0.11432866080307391,0.04316587999983312,1.6546714685005148,10,10,0.045077105575326216,38,1781081600.6213217,custom_autoscaler
254,0.1307909549251543,0.04477465550007764,2.109569329009409,10,10,0.047244094488188976,12,1781081605.6214244,custom_autoscaler
895,0.11138338103016227,0.04352277599991794,1.5914964735006767,10,10,0.042458100558659215,38,1781081612.9591002,custom_autoscaler
920,0.10991512204891082,0.04352455699972779,1.581998257870536,10,10,0.041304347826086954,38,1781081617.9592538,custom_autoscaler
942,0.10850531504564682,0.04335697899978186,1.579440707930344,10,10,0.040339702760084924,38,1781081622.9593275,custom_autoscaler
970,0.10711060826288867,0.04354753449979398,1.5761856443700974,10,10,0.03917525773195876,38,1781081627.9594035,custom_autoscaler
995,0.10569390282914753,0.04342225800064625,1.5732793376198781,10,10,0.03819095477386935,38,1781081632.9594748,custom_autoscaler
1013,0.10477261854294413,0.04339225800049462,1.5701639288798832,10,10,0.03751233958538993,38,1781081637.9595273,custom_autoscaler
1038,0.10371149259537862,0.04352455699972779,1.56512664738,10,10,0.036608863198458574,38,1781081642.9595633,custom_autoscaler
1063,0.10257328963311702,0.04358245599996735,1.5600893658801191,10,10,0.03574788334901223,38,1781081650.2967389,custom_autoscaler
1088,0.10156972926011446,0.04359113249984148,1.5550520843802382,10,10,0.034926470588235295,38,1781081655.2968163,custom_autoscaler
1116,0.10077771512545035,0.04367352400004165,1.5041309259001698,10,10,0.034050179211469536,38,1781081660.2968726,custom_autoscaler
1144,0.09988347303234449,0.043963203499970405,1.4139676179799858,10,10,0.033216783216783216,38,1781081665.296948,custom_autoscaler
1171,0.09922071060034261,0.044059847999960766,1.3270244281998056,10,10,0.032450896669513236,38,1781081670.2970338,custom_autoscaler
1192,0.0986080273020138,0.04415084950051096,1.2594019472596492,10,10,0.031879194630872486,38,1781081675.2971148,custom_autoscaler
1216,0.09779802114226979,0.04420393949976642,1.2234688165997298,10,10,0.03125,38,1781081682.5751045,custom_autoscaler
1248,0.0973018213990385,0.04452847950005889,1.2086377394799899,10,10,0.030448717948717948,38,1781081687.5753162,custom_autoscaler
1344,0.09945635097916479,0.04589133449962901,1.1421882720999867,10,10,0.029017857142857144,39,1781081692.5753927,custom_autoscaler
1460,0.10554538003082112,0.04833640850029042,1.0597272162199571,10,10,0.02945205479452055,43,1781081697.575477,custom_autoscaler
456,0.11520105698682408,0.055471826500252064,1.5202576770000609,10,10,0.02850877192982456,13,1781081702.5755801,custom_autoscaler
488,0.12439825862702678,0.060291033999874344,1.4501074434003558,10,10,0.0389344262295082,19,1781081707.5756738,custom_autoscaler
518,0.12904078630885488,0.06477598199990098,1.3741705388403398,10,10,0.03861003861003861,20,1781081714.9437187,custom_autoscaler
1950,0.1349755789917939,0.07327533999978186,0.9491482374096721,10,10,0.04358974358974359,85,1781081719.9437919,custom_autoscaler
2070,0.14021844060820918,0.0770502469999883,0.9293969211395129,10,10,0.04782608695652174,99,1781081724.9440014,custom_autoscaler
2180,0.14828149244540786,0.08303913299960186,0.9420677321402402,10,10,0.054587155963302755,119,1781081729.9440928,custom_autoscaler
663,0.16159101433483006,0.08449056000063138,1.1617194454000308,10,10,0.05731523378582202,38,1781081734.9441714,custom_autoscaler
2422,0.16371926934723205,0.09297780350016183,0.9453984598596796,10,10,0.061932287365813375,150,1781081739.944264,custom_autoscaler
744,0.17258914731450747,0.09481518099983077,1.1287689859398522,10,10,0.06451612903225806,48,1781081744.944303,custom_autoscaler
2655,0.17553587281017038,0.09992171500016411,0.9516535208001006,10,10,0.07156308851224105,190,1781081752.3554144,custom_autoscaler
2786,0.1803667747035182,0.10410622250037704,0.9473525966495349,10,10,0.07573582196697774,211,1781081757.3555257,custom_autoscaler
320,0.21257419808435712,0.12022839799965368,1.0551560511201752,10,10,0.103125,33,1781081762.3555753,custom_autoscaler
